year,week,sex,county_name,county_id,imported,age_group,case_number
2004,21,M,Taoyuan City,68000,1,30~34,1
2004,21,M,Taoyuan City,68000,1,35~39,1
2004,22,F,Tainan City,67000,1,20~24,1
2004,23,M,Taichung City,66000,0,25~29,1
2004,23,M,Taichung City,66000,1,45~49,1
2004,24,F,Taichung City,66000,1,20~24,1
2004,26,F,Taoyuan City,68000,1,60~64,1
2004,27,M,Taichung City,66000,1,20~24,1
2004,27,M,Taichung City,66000,1,45~49,1
2004,27,M,Taoyuan City,68000,1,30~34,1
2004,29,M,Yilan County,10002,1,25~29,1
2004,29,F,Pingtung County,10013,0,30~34,1
2004,29,M,Pingtung County,10013,0,30~34,1
2004,29,M,Pingtung County,10013,0,35~39,1
2004,29,F,Pingtung County,10013,0,30~34,1
2004,29,F,Taoyuan City,68000,1,45~49,1
2004,30,F,Pingtung County,10013,0,40~44,1
2004,30,F,Pingtung County,10013,1,30~34,1
2004,30,M,Hsinchu City,10018,1,35~39,1
2004,30,F,Taipei City,63000,1,25~29,1
2004,30,M,Taipei City,63000,1,60~64,1
2004,30,M,Taipei City,63000,1,25~29,1
2004,30,M,New Taipei City,65000,1,45~49,1
2004,31,M,Pingtung County,10013,0,70+,1
2004,32,F,Yunlin County,10009,1,55~59,1
2004,32,M,Pingtung County,10013,0,25~29,1
2004,32,M,Pingtung County,10013,0,4,1
2004,32,M,Pingtung County,10013,0,5~9,1
2004,32,M,Pingtung County,10013,0,60~64,1
2004,32,M,Pingtung County,10013,0,70+,1
2004,32,M,Kaohsiung City,64000,1,25~29,1
2004,33,M,Changhua County,10007,1,25~29,1
2004,33,F,Taipei City,63000,1,10~14,1
2004,34,M,Hsinchu County,10004,1,45~49,1
2004,34,F,Chiayi County,10010,1,20~24,1
2004,34,M,Pingtung County,10013,0,35~39,1
2004,34,F,Pingtung County,10013,0,45~49,1
2004,34,F,Pingtung County,10013,0,60~64,1
2004,34,F,Pingtung County,10013,1,15~19,1
2004,34,F,New Taipei City,65000,1,15~19,1
2004,35,F,Pingtung County,10013,0,55~59,1
2004,35,M,Taipei City,63000,1,35~39,1
2004,35,F,Kaohsiung City,64000,1,15~19,1
2004,35,F,New Taipei City,65000,1,5~9,1
2004,35,F,New Taipei City,65000,1,20~24,1
2004,35,M,New Taipei City,65000,1,35~39,1
2004,35,M,Taichung City,66000,1,25~29,1
2004,35,M,Tainan City,67000,1,25~29,1
2004,36,F,Pingtung County,10013,0,30~34,1
2004,36,F,Pingtung County,10013,0,40~44,1
2004,36,M,Pingtung County,10013,0,65~69,1
2004,36,M,Pingtung County,10013,1,30~34,1
2004,36,F,Pingtung County,10013,1,30~34,1
2004,37,F,Pingtung County,10013,0,25~29,1
2004,37,F,Pingtung County,10013,0,10~14,1
2004,37,M,Pingtung County,10013,0,25~29,1
2004,37,F,Pingtung County,10013,0,35~39,1
2004,37,F,Pingtung County,10013,0,40~44,1
2004,37,F,Pingtung County,10013,0,45~49,1
2004,37,M,Pingtung County,10013,0,55~59,1
2004,37,F,Pingtung County,10013,0,70+,1
2004,37,F,Kaohsiung City,64000,1,15~19,1
2004,37,M,Kaohsiung City,64000,0,25~29,1
2004,37,M,New Taipei City,65000,1,70+,1
2004,37,M,Taoyuan City,68000,1,55~59,1
2004,38,M,Pingtung County,10013,0,20~24,1
2004,38,M,Pingtung County,10013,0,40~44,1
2004,38,F,Pingtung County,10013,0,45~49,1
2004,38,F,Pingtung County,10013,0,50~54,1
2004,38,M,Pingtung County,10013,0,60~64,1
2004,38,M,Pingtung County,10013,0,65~69,1
2004,38,F,Kaohsiung City,64000,1,45~49,1
2004,38,F,Kaohsiung City,64000,1,60~64,1
2004,38,M,Tainan City,67000,1,20~24,1
2004,38,F,Tainan City,67000,1,30~34,1
2004,39,F,Pingtung County,10013,0,10~14,1
2004,39,M,Pingtung County,10013,0,10~14,2
2004,39,M,Pingtung County,10013,0,15~19,2
2004,39,M,Pingtung County,10013,0,25~29,1
2004,39,M,Pingtung County,10013,0,35~39,1
2004,39,F,Pingtung County,10013,0,45~49,1
2004,39,M,Pingtung County,10013,0,45~49,1
2004,39,F,Pingtung County,10013,0,50~54,1
2004,39,M,Pingtung County,10013,0,5~9,1
2004,39,F,Pingtung County,10013,0,60~64,1
2004,39,M,Pingtung County,10013,1,50~54,1
2004,39,M,Pingtung County,10013,0,25~29,1
2004,39,M,Taipei City,63000,1,40~44,1
2004,39,F,Kaohsiung City,64000,0,25~29,1
2004,39,M,Kaohsiung City,64000,0,25~29,1
2004,40,F,Pingtung County,10013,0,10~14,1
2004,40,M,Pingtung County,10013,0,10~14,1
2004,40,M,Pingtung County,10013,0,20~24,1
2004,40,F,Pingtung County,10013,0,25~29,3
2004,40,F,Pingtung County,10013,0,30~34,1
2004,40,M,Pingtung County,10013,0,30~34,1
2004,40,M,Pingtung County,10013,0,35~39,2
2004,40,F,Pingtung County,10013,0,45~49,1
2004,40,F,Pingtung County,10013,0,55~59,1
2004,40,M,Pingtung County,10013,0,55~59,1
2004,40,M,Pingtung County,10013,0,70+,1
2004,40,F,Kaohsiung City,64000,0,65~69,1
2004,41,M,Changhua County,10007,1,60~64,1
2004,41,M,Pingtung County,10013,0,10~14,1
2004,41,F,Pingtung County,10013,0,20~24,2
2004,41,M,Pingtung County,10013,0,30~34,2
2004,41,M,Pingtung County,10013,0,35~39,2
2004,41,F,Pingtung County,10013,0,40~44,2
2004,41,F,Pingtung County,10013,0,45~49,1
2004,41,F,Pingtung County,10013,0,50~54,1
2004,41,F,Pingtung County,10013,0,60~64,2
2004,41,F,Pingtung County,10013,0,70+,1
2004,41,M,Pingtung County,10013,0,50~54,1
2004,41,F,Taipei City,63000,1,40~44,1
2004,41,M,Kaohsiung City,64000,0,50~54,1
2004,41,F,Kaohsiung City,64000,0,40~44,1
2004,42,F,Pingtung County,10013,0,40~44,1
2004,42,F,Pingtung County,10013,0,25~29,2
2004,42,M,Pingtung County,10013,0,25~29,1
2004,42,F,Pingtung County,10013,0,30~34,2
2004,42,M,Pingtung County,10013,0,30~34,2
2004,42,F,Pingtung County,10013,0,35~39,1
2004,42,F,Pingtung County,10013,0,40~44,3
2004,42,M,Pingtung County,10013,0,45~49,1
2004,42,F,Pingtung County,10013,0,50~54,1
2004,42,F,Pingtung County,10013,0,55~59,1
2004,42,F,Pingtung County,10013,0,60~64,4
2004,42,M,Pingtung County,10013,0,60~64,3
2004,42,F,Pingtung County,10013,0,65~69,2
2004,42,M,Pingtung County,10013,0,65~69,2
2004,42,F,Pingtung County,10013,0,70+,1
2004,42,M,Pingtung County,10013,0,70+,2
2004,42,M,Pingtung County,10013,0,40~44,1
2004,42,M,Pingtung County,10013,0,10~14,1
2004,42,M,Kaohsiung City,64000,0,50~54,1
2004,42,M,Kaohsiung City,64000,0,50~54,2
2004,42,F,Kaohsiung City,64000,0,55~59,1
2004,42,M,Taoyuan City,68000,1,35~39,1
2004,43,F,Pingtung County,10013,0,25~29,1
2004,43,M,Pingtung County,10013,0,25~29,1
2004,43,M,Pingtung County,10013,0,30~34,1
2004,43,F,Pingtung County,10013,0,35~39,3
2004,43,F,Pingtung County,10013,0,40~44,2
2004,43,M,Pingtung County,10013,0,40~44,1
2004,43,F,Pingtung County,10013,0,50~54,2
2004,43,F,Pingtung County,10013,0,55~59,1
2004,43,M,Pingtung County,10013,0,5~9,1
2004,43,F,Pingtung County,10013,0,65~69,4
2004,43,M,Pingtung County,10013,0,65~69,3
2004,43,M,Pingtung County,10013,0,70+,1
2004,43,M,Pingtung County,10013,0,45~49,1
2004,43,M,Kaohsiung City,64000,1,50~54,1
2004,43,M,Kaohsiung City,64000,0,30~34,1
2004,43,M,Kaohsiung City,64000,0,35~39,1
2004,43,M,Taichung City,66000,1,25~29,1
2004,43,M,Taoyuan City,68000,1,10~14,1
2004,44,M,Pingtung County,10013,0,10~14,1
2004,44,F,Pingtung County,10013,0,20~24,1
2004,44,M,Pingtung County,10013,0,30~34,1
2004,44,M,Pingtung County,10013,0,35~39,1
2004,44,M,Pingtung County,10013,0,40~44,1
2004,44,F,Pingtung County,10013,0,45~49,2
2004,44,M,Pingtung County,10013,0,45~49,1
2004,44,M,Pingtung County,10013,0,50~54,1
2004,44,M,Pingtung County,10013,0,55~59,2
2004,44,F,Pingtung County,10013,0,5~9,1
2004,44,F,Pingtung County,10013,0,60~64,1
2004,44,M,Pingtung County,10013,0,60~64,1
2004,44,M,Pingtung County,10013,0,70+,2
2004,44,F,Pingtung County,10013,0,20~24,1
2004,44,F,Taipei City,63000,1,30~34,1
2004,44,M,Taipei City,63000,1,55~59,1
2004,44,M,Kaohsiung City,64000,1,45~49,1
2004,44,F,Kaohsiung City,64000,0,15~19,1
2004,44,F,Kaohsiung City,64000,0,30~34,1
2004,44,F,Kaohsiung City,64000,0,65~69,1
2004,44,F,Taoyuan City,68000,1,45~49,1
2004,45,M,Pingtung County,10013,0,10~14,1
2004,45,M,Pingtung County,10013,0,15~19,1
2004,45,F,Pingtung County,10013,0,25~29,1
2004,45,F,Pingtung County,10013,0,30~34,2
2004,45,M,Pingtung County,10013,0,30~34,2
2004,45,F,Pingtung County,10013,0,35~39,1
2004,45,M,Pingtung County,10013,0,35~39,2
2004,45,M,Pingtung County,10013,0,4,2
2004,45,F,Pingtung County,10013,0,40~44,3
2004,45,M,Pingtung County,10013,0,40~44,1
2004,45,F,Pingtung County,10013,0,45~49,1
2004,45,M,Pingtung County,10013,0,45~49,1
2004,45,F,Pingtung County,10013,0,50~54,2
2004,45,M,Pingtung County,10013,0,50~54,1
2004,45,F,Pingtung County,10013,0,55~59,2
2004,45,F,Pingtung County,10013,0,5~9,1
2004,45,M,Pingtung County,10013,0,5~9,1
2004,45,F,Pingtung County,10013,0,60~64,1
2004,45,M,Pingtung County,10013,0,60~64,2
2004,45,F,Pingtung County,10013,0,70+,1
2004,45,M,Pingtung County,10013,0,70+,2
2004,45,F,Pingtung County,10013,0,20~24,1
2004,45,F,Pingtung County,10013,0,20~24,1
2004,45,F,Kaohsiung City,64000,0,30~34,1
2004,45,M,Kaohsiung City,64000,0,15~19,1
2004,46,M,Pingtung County,10013,0,10~14,1
2004,46,M,Pingtung County,10013,0,15~19,1
2004,46,F,Pingtung County,10013,0,25~29,1
2004,46,F,Pingtung County,10013,0,30~34,1
2004,46,M,Pingtung County,10013,0,30~34,1
2004,46,F,Pingtung County,10013,0,35~39,1
2004,46,M,Pingtung County,10013,0,35~39,4
2004,46,F,Pingtung County,10013,0,40~44,1
2004,46,M,Pingtung County,10013,0,40~44,2
2004,46,F,Pingtung County,10013,0,45~49,3
2004,46,M,Pingtung County,10013,0,45~49,4
2004,46,F,Pingtung County,10013,0,50~54,2
2004,46,F,Pingtung County,10013,0,55~59,3
2004,46,M,Pingtung County,10013,0,55~59,1
2004,46,M,Pingtung County,10013,0,65~69,1
2004,46,M,Pingtung County,10013,0,70+,1
2004,46,M,Kaohsiung City,64000,0,40~44,1
2004,47,M,Pingtung County,10013,0,25~29,1
2004,47,M,Pingtung County,10013,0,15~19,1
2004,47,M,Pingtung County,10013,0,20~24,1
2004,47,F,Pingtung County,10013,0,25~29,2
2004,47,M,Pingtung County,10013,0,25~29,1
2004,47,F,Pingtung County,10013,0,30~34,1
2004,47,M,Pingtung County,10013,0,30~34,1
2004,47,F,Pingtung County,10013,0,35~39,1
2004,47,M,Pingtung County,10013,0,35~39,1
2004,47,F,Pingtung County,10013,0,40~44,2
2004,47,M,Pingtung County,10013,0,40~44,1
2004,47,M,Pingtung County,10013,0,45~49,1
2004,47,F,Pingtung County,10013,0,50~54,1
2004,47,M,Pingtung County,10013,0,60~64,1
2004,47,M,Pingtung County,10013,0,70+,1
2004,47,F,Pingtung County,10013,0,20~24,1
2004,47,F,Kaohsiung City,64000,0,50~54,1
2004,47,F,Kaohsiung City,64000,1,30~34,1
2004,47,M,Kaohsiung City,64000,0,20~24,1
2004,47,M,New Taipei City,65000,1,30~34,1
2004,48,M,Pingtung County,10013,0,10~14,1
2004,48,F,Pingtung County,10013,0,15~19,1
2004,48,M,Pingtung County,10013,0,15~19,1
2004,48,F,Pingtung County,10013,0,20~24,1
2004,48,F,Pingtung County,10013,0,25~29,1
2004,48,F,Pingtung County,10013,0,30~34,2
2004,48,F,Pingtung County,10013,0,35~39,2
2004,48,M,Pingtung County,10013,0,35~39,1
2004,48,F,Pingtung County,10013,0,4,1
2004,48,F,Pingtung County,10013,0,40~44,1
2004,48,F,Pingtung County,10013,0,45~49,1
2004,48,F,Pingtung County,10013,0,50~54,2
2004,48,F,Pingtung County,10013,0,55~59,1
2004,48,F,Pingtung County,10013,0,60~64,2
2004,48,M,Pingtung County,10013,0,70+,1
2004,48,M,Pingtung County,10013,0,15~19,1
2004,48,M,Pingtung County,10013,0,10~14,1
2004,48,F,Kaohsiung City,64000,0,5~9,1
2004,48,M,Kaohsiung City,64000,0,25~29,1
2004,48,F,Kaohsiung City,64000,0,50~54,1
2004,48,M,Kaohsiung City,64000,0,30~34,1
2004,49,F,Pingtung County,10013,0,10~14,1
2004,49,F,Pingtung County,10013,0,50~54,1
2004,49,F,Pingtung County,10013,0,55~59,2
2004,49,M,Pingtung County,10013,0,5~9,1
2004,49,F,Pingtung County,10013,0,60~64,1
2004,49,F,Pingtung County,10013,0,65~69,1
2004,49,M,Pingtung County,10013,0,65~69,1
2004,49,M,Pingtung County,10013,0,70+,1
2004,49,F,Pingtung County,10013,0,45~49,1
2004,49,F,Kaohsiung City,64000,0,25~29,1
2004,49,F,Kaohsiung City (former),64000,0,25~29,1
2004,49,M,Kaohsiung City,64000,0,35~39,1
2004,49,F,Kaohsiung City,64000,0,55~59,1
2004,49,M,Kaohsiung City,64000,0,35~39,1
2004,49,M,Kaohsiung City,64000,0,35~39,1
2004,49,M,Kaohsiung City (former),64000,1,15~19,1
2004,50,F,Yilan County,10002,1,20~24,1
2004,50,M,Miaoli County,10005,1,45~49,1
2004,50,M,Chiayi County,10010,1,30~34,1
2004,50,F,Pingtung County,10013,0,15~19,1
2004,50,M,Pingtung County,10013,0,35~39,1
2004,50,F,Pingtung County,10013,0,40~44,1
2004,50,F,Pingtung County,10013,0,50~54,1
2004,50,M,Pingtung County,10013,0,65~69,1
2004,50,M,Taipei City,63000,1,10~14,1
2004,50,F,Kaohsiung City,64000,0,45~49,1
2004,50,F,Kaohsiung City,64000,0,15~19,1
2004,50,M,Kaohsiung City,64000,0,15~19,1
2004,50,M,Kaohsiung City,64000,0,15~19,1
2004,50,F,Tainan City,67000,0,40~44,1
2004,50,M,Tainan City,67000,0,15~19,1
2004,51,M,Pingtung County,10013,0,15~19,1
2004,51,F,Pingtung County,10013,0,35~39,1
2004,51,F,Pingtung County,10013,0,40~44,1
2004,51,M,Pingtung County,10013,0,40~44,1
2004,51,F,Pingtung County,10013,0,5~9,1
2004,51,M,Pingtung County,10013,0,15~19,1
2004,51,M,Kaohsiung City,64000,0,15~19,1
2004,51,F,Kaohsiung City,64000,0,30~34,1
2004,51,F,Kaohsiung City,64000,0,60~64,1
2004,51,F,Kaohsiung City,64000,0,65~69,1
2004,51,M,Kaohsiung City,64000,0,15~19,1
2004,51,M,Taichung City,66000,1,20~24,1
2004,52,M,Kaohsiung City,64000,0,45~49,1
2004,52,F,Kaohsiung City,64000,0,45~49,1
2004,52,M,Kaohsiung City,64000,0,15~19,1
2004,52,M,Kaohsiung City,64000,0,15~19,1
2004,52,M,Tainan City,67000,0,15~19,1
2004,52,F,Taoyuan City,68000,1,45~49,1
2004,53,F,Hsinchu County,10004,1,20~24,1
2004,53,F,Pingtung County,10013,0,25~29,1
2004,53,M,Pingtung County,10013,0,70+,1
2004,53,M,Kaohsiung City,64000,0,1,1
2004,53,M,Kaohsiung City,64000,0,20~24,1
2004,53,F,New Taipei City,65000,1,45~49,1
2004,53,F,Taichung City,66000,0,40~44,1
2004,53,M,Taoyuan City,68000,0,50~54,1
2005,1,F,Pingtung County,10013,0,70+,1
2005,2,M,Pingtung County,10013,0,40~44,1
2005,2,F,Pingtung County,10013,0,50~54,1
2005,2,F,Kaohsiung City,64000,0,35~39,1
2005,3,M,Pingtung County,10013,0,25~29,1
2005,3,F,Pingtung County,10013,0,10~14,1
2005,3,F,Pingtung County,10013,0,40~44,1
2005,3,M,Kaohsiung City,64000,0,60~64,1
2005,3,M,Kaohsiung City,64000,1,45~49,1
2005,5,F,Pingtung County,10013,0,5~9,1
2005,5,M,Pingtung County,10013,0,5~9,1
2005,5,M,Taoyuan City,68000,1,45~49,1
2005,6,M,Kaohsiung City,64000,0,10~14,1
2005,6,F,Kaohsiung City,64000,0,25~29,1
2005,6,F,Kaohsiung City,64000,0,25~29,1
2005,6,M,Kaohsiung City,64000,0,60~64,1
2005,7,M,Kaohsiung City,64000,0,10~14,1
2005,7,F,Kaohsiung City,64000,0,35~39,1
2005,7,M,Kaohsiung City,64000,0,70+,1
2005,8,M,Yunlin County,10009,1,40~44,1
2005,8,M,Kaohsiung City,64000,0,40~44,1
2005,9,M,Pingtung County,10013,1,50~54,1
2005,9,F,Taichung City,66000,1,55~59,1
2005,10,F,Kaohsiung City,64000,0,55~59,1
2005,13,F,Yunlin County,10009,1,15~19,1
2005,13,M,Pingtung County,10013,1,60~64,1
2005,16,M,Taoyuan City,68000,1,30~34,1
2005,17,M,Yunlin County,10009,1,35~39,1
2005,18,M,Taoyuan City,68000,1,65~69,1
2005,19,F,New Taipei City,65000,1,25~29,1
2005,19,M,Tainan City,67000,1,30~34,1
2005,20,M,Changhua County,10007,1,35~39,1
2005,20,M,Changhua County,10007,1,40~44,1
2005,20,M,Taitung County,10014,1,35~39,1
2005,21,M,New Taipei City,65000,1,20~24,1
2005,22,M,Taichung City,66000,1,25~29,1
2005,24,M,Kaohsiung City,64000,1,50~54,1
2005,24,M,Taichung City,66000,1,30~34,1
2005,24,M,Taoyuan City,68000,1,35~39,1
2005,26,M,Changhua County,10007,1,25~29,1
2005,26,F,Changhua County,10007,1,50~54,1
2005,26,M,New Taipei City,65000,1,55~59,1
2005,26,F,Taoyuan City,68000,1,25~29,1
2005,27,M,Nantou County,10008,1,45~49,1
2005,27,M,Pingtung County,10013,1,35~39,1
2005,27,F,Taichung City,66000,1,25~29,2
2005,29,M,Nantou County,10008,1,50~54,1
2005,29,M,Hualien County,10015,1,45~49,1
2005,29,F,Taipei City,63000,1,15~19,1
2005,29,F,Taoyuan City,68000,1,1,1
2005,30,F,Taoyuan City,68000,1,55~59,1
2005,31,F,Pingtung County,10013,0,45~49,1
2005,31,F,New Taipei City,65000,1,15~19,1
2005,32,M,Pingtung County,10013,1,40~44,1
2005,32,M,Taipei City,63000,1,65~69,1
2005,32,M,New Taipei City,65000,1,30~34,1
2005,33,M,Miaoli County,10005,1,5~9,1
2005,33,F,Taitung County,10014,1,3,1
2005,33,M,Taitung County,10014,1,35~39,1
2005,33,M,Taitung County,10014,1,5~9,2
2005,33,M,Taoyuan City,68000,1,25~29,1
2005,34,F,Miaoli County,10005,1,5~9,1
2005,34,F,Kaohsiung City,64000,0,25~29,1
2005,34,M,Kaohsiung City,64000,0,30~34,1
2005,34,M,New Taipei City,65000,1,35~39,1
2005,35,M,Taipei City,63000,1,25~29,1
2005,35,F,Taipei City,63000,1,65~69,1
2005,35,F,Kaohsiung City,64000,0,15~19,1
2005,35,F,Kaohsiung City,64000,0,35~39,1
2005,35,F,Taoyuan City,68000,1,40~44,1
2005,36,F,Miaoli County,10005,1,20~24,1
2005,36,M,Pingtung County,10013,0,40~44,1
2005,36,M,Kaohsiung City,64000,0,50~54,1
2005,36,F,Kaohsiung City,64000,1,55~59,1
2005,36,M,Kaohsiung City,64000,0,40~44,1
2005,36,M,Kaohsiung City,64000,0,45~49,1
2005,36,F,Kaohsiung City,64000,0,60~64,1
2005,36,M,New Taipei City,65000,1,55~59,1
2005,36,M,New Taipei City,65000,1,70+,1
2005,36,F,Taichung City,66000,1,25~29,1
2005,36,F,Tainan City,67000,1,40~44,1
2005,36,F,Tainan City,67000,0,50~54,1
2005,36,F,Taoyuan City,68000,1,45~49,1
2005,37,F,Pingtung County,10013,1,15~19,1
2005,37,M,Pingtung County,10013,1,25~29,1
2005,37,M,Kaohsiung City,64000,0,10~14,1
2005,37,F,Kaohsiung City,64000,0,25~29,1
2005,37,F,Kaohsiung City,64000,0,40~44,1
2005,37,M,Kaohsiung City,64000,0,40~44,1
2005,37,F,Kaohsiung City,64000,0,50~54,1
2005,37,M,Kaohsiung City (former),64000,0,50~54,1
